지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),합계 일조시간(hr),,,,,,,,,,,
184,제주,18-Jan,4.9,7.3,67,58,3.8,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-Feb,5.5,8.7,60,86.6,3.7,122.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-Mar,11.4,15.3,72,118,3,190.9,,,4.9,5.5,11.4,15.9,19.1,22.3,27.3,28.8,23.9,17.9,13.9,8.7,6.4,7.4,10.8,14.7,20,21.5,25.2,27.7,24,19.7,14.6,9.7,8.9,9.1,11.5,13.2,18.8,22.4,24.2
184,제주,18-Apr,15.9,19.6,68,112.5,2.9,205.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-May,19.1,23.1,76,98.8,2.9,159.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-Jun,22.3,25.6,79,211.1,2.7,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-Jul,27.3,30.1,81,48.7,2.7,233.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-Aug,28.8,32.1,78,376.5,3.3,245.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-Sep,23.9,26.8,75,187.7,2.8,122.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-Oct,17.9,20.9,64,347,3.2,174.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-Nov,13.9,17.2,65,28.6,2.6,161.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,18-Dec,8.7,11.2,68,96,3.6,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Jan,6.4,8.9,64,24.2,3.3,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Feb,7.4,10.2,63,37.9,3,110.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Mar,10.8,14.4,63,55.5,3.5,187.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Apr,14.7,18.4,68,46.4,3,196.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-May,20,23.8,56,42.8,3,262.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Jun,21.5,25.1,80,145.8,2.6,194.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Jul,25.2,27.9,85,510.1,2.6,175.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Aug,27.7,30.6,77,242.3,2.8,176.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Sep,24,26.6,84,610.6,2.9,120.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Oct,19.7,22.6,69,188.6,2.9,160.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Nov,14.6,18.3,65,27.5,3,146.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,19-Dec,9.7,12.5,64,48.2,3.3,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,20-Jan,8.9,11,66,116.7,3.5,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,20-Feb,9.1,12.3,66,29.8,3.3,115.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,20-Mar,11.5,15.1,63,81.6,3.2,196.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,20-Apr,13.2,16.9,56,82.3,3.3,261.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,20-May,18.8,23.4,74,20.6,2.9,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,20-Jun,22.4,26.1,83,221.5,2.7,164.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,제주,20-Jul,24.2,27.3,85,184.7,2.9,114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
